Player,TM,GM,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA
"Clurey, Tom",PA,13,102,70,30,132,,,,13,28,4,,23,4,10,,41,86,9,,76,5,
"Flynn, Matt",GW,12,61,33,69,130,4,1,306,25,6,19,35,31,11,15,,86,48,15,7,40,,
"Dumont, Trent",PA,8,71,31,59,130,2,2,,15,15,12,10,12,2,2,,33,98,2,4,9,,2
"Clarke, Ryan",SY,14,54,21,75,129,5,4,,40,2,21,8,22,6,6,,56,75,2,4,17,1,3
"Thomas, Tarryn",NM,10,84,28,45,129,2,2,,28,9,27,27,30,8,8,,55,76,5,4,9,6,1
"Parnell, Patrick",AD,11,83,30,45,128,,1,,25,19,16,3,17,5,3,,30,98,,1,13,3,2
"Murray, Nick",AD,16,87,44,40,127,,,6,21,40,13,5,36,13,13,,65,66,14,,110,,1
"OBrien, Tim",WB,11,89,64,37,126,1,,,10,24,12,2,17,9,6,,46,85,11,1,69,,
"Koschitzke, Jacob",HW,16,81,36,44,125,18,8,49,41,2,25,12,33,13,12,,64,58,9,18,36,,3
"Menegola, Sam",GE,7,87,28,38,125,5,4,,8,9,27,9,26,4,6,2,34,92,,3,9,1,7
"Taberner, Matthew",FR,13,100,63,24,124,23,8,,13,,22,1,18,19,8,3,54,68,18,20,15,,4
"Langford, Kyle",ES,9,73,42,51,124,10,7,,22,3,21,4,20,4,7,,33,96,4,12,1,1,4
"Preuss, Braydon",GW,10,84,41,40,124,2,8,326,26,12,42,32,44,20,23,,85,39,21,2,13,,6
"Howe, Daniel",HW,9,74,40,50,124,1,1,2,16,9,13,7,20,6,7,,36,79,2,3,20,,1
"Wingard, Chad",HW,10,78,21,45,123,17,6,,22,,26,12,24,7,10,,47,68,4,10,14,2,6
"Peatling, James",GW,12,80,50,43,123,9,8,,18,3,22,10,24,7,7,1,39,88,2,9,7,3,7
"Sonsie, Tyler",RI,7,71,18,52,123,3,3,,13,11,17,16,13,5,,,46,74,,5,7,2,4
"Hamill, Will",AD,13,59,23,64,123,1,,,24,18,12,4,16,8,7,,56,72,4,,26,,1
"Rioli, Maurice",RI,15,76,30,46,122,14,7,,41,1,26,1,36,8,11,,50,72,1,16,19,8,10
"Henry, Oliver",CW,15,88,44,33,121,21,15,,13,2,27,3,30,9,6,1,45,73,7,26,15,,5
"Clark, Hunter",SK,8,82,22,39,121,,,,17,16,13,8,24,4,9,,41,81,1,,14,,
"Xerri, Tristan",NM,12,50,27,70,120,5,2,262,42,6,13,29,38,14,17,,75,43,6,6,24,,3
"Wehr, Jacob",GW,10,87,36,33,120,4,,,35,11,20,8,21,11,7,,48,74,1,2,17,,2
"Sharp, Jeremy",GC,12,84,35,33,117,5,4,,10,5,27,2,16,6,3,,33,80,,5,6,5,
"Martin, Jack",CA,12,74,40,40,114,12,11,,31,3,20,3,26,7,8,,54,62,9,12,8,,8
"Mead, Jackson",PA,11,59,20,55,114,1,,,32,4,17,13,18,3,2,,38,75,2,2,11,2,2
"Thilthorpe, Riley",AD,11,70,49,43,113,8,7,55,24,3,18,11,31,5,8,,70,41,20,18,22,1,1
"Vandermeer, Laitham",WB,10,57,26,55,112,4,3,,18,6,28,4,21,6,4,,42,71,,5,6,,10
"Coleman-Jones, Callum",NM,10,58,28,53,111,5,4,101,17,3,17,14,33,13,17,,58,55,9,5,17,,4
"Cunningham, Harry",SY,10,58,33,53,111,,,,24,14,8,2,12,6,3,,36,74,1,,17,1,3
"Himmelberg, Elliott",AD,11,59,34,50,109,14,5,32,19,1,21,6,21,14,12,,54,62,9,10,32,,5
"Mahony, Jack",NM,13,68,33,41,109,6,1,,30,7,20,11,28,9,10,,37,76,1,9,7,,2
"Cordy, Zaine",WB,14,60,33,49,109,2,,38,29,13,12,9,31,7,15,,50,63,4,4,58,,3
"Rohan, Gary",GE,12,71,31,37,108,14,6,,29,2,33,4,25,11,10,,45,68,4,11,17,,8
"de Boer, Matt",GW,12,54,31,54,108,5,3,,19,6,24,1,19,8,11,,27,80,2,6,10,,4
"Frampton, Billy",AD,6,82,39,26,108,1,,,,38,6,1,16,8,4,,23,71,4,,34,,1
"Snelling, Will",ES,8,41,24,66,107,,,,28,3,20,6,17,5,5,,35,72,,2,6,,
"Fyfe, Nat",FR,7,37,20,69,106,6,4,,20,1,14,15,21,3,13,,53,53,6,10,7,1,5
"Lloyd, Daniel",GW,11,75,39,31,106,5,6,,27,4,17,5,21,4,5,,37,69,2,8,7,2,3
"Macpherson, Darcy",GC,10,66,24,40,106,,1,,25,13,22,2,24,12,7,,47,57,1,3,5,,4
"Naitanui, Nic",WC,8,43,12,62,105,2,1,230,19,2,24,45,24,8,16,,91,23,4,,27,,1
"Dahlhaus, Luke",GE,10,40,20,64,104,3,2,,19,,14,4,11,10,2,,37,65,,3,9,,5
"McGovern, Mitch",CA,7,85,45,19,104,,1,,13,33,13,1,18,6,6,,25,58,6,,24,1,4
"Grundy, Brodie",CW,6,53,15,48,101,2,,182,23,5,23,33,31,13,13,1,65,38,3,,20,2,5
"Motlop, Jesse",CA,12,55,22,45,100,12,6,,29,1,16,2,25,4,13,,49,53,2,6,8,3,1
"Bianco, Trent",CW,10,62,30,38,100,1,1,,27,12,13,6,20,6,7,,33,66,,2,8,,3
"Melksham, Jake",ME,11,71,41,27,98,12,12,,21,2,25,5,15,5,4,1,41,59,8,19,8,4,11
"Smith, Roarke",WB,10,52,24,46,98,5,1,,15,8,12,7,16,7,4,,41,60,3,2,9,,1
"Clark, Greg",WC,9,52,24,46,98,1,1,,31,13,14,13,18,9,8,,36,65,,1,8,,1
"McDonald, Tom",ME,9,66,36,31,97,15,10,15,10,7,8,2,20,8,8,2,44,54,9,20,18,,7
"Flanders, Sam",GC,9,51,22,46,97,3,1,,19,9,15,4,16,2,3,,34,66,2,1,8,2,2
"Burgoyne, Jase",PA,8,64,26,33,97,2,1,,18,14,12,4,14,4,1,,28,70,1,1,14,1,2
"DAmbrosio, Massimo",ES,8,56,28,40,96,4,,,11,17,5,3,18,3,6,,28,70,2,3,2,,1
"Ryder, Paddy",SK,12,73,32,22,95,11,7,264,26,4,18,26,50,16,28,4,61,39,10,9,29,,2
"Soldo, Ivan",RI,13,60,32,35,95,7,3,185,24,9,14,25,34,18,20,,45,47,6,9,24,,2
"Robertson, Deven",BL,8,47,21,48,95,3,,,32,5,14,7,16,5,5,,43,53,4,1,5,,5
"Hill, Bobby",GW,11,62,24,32,94,9,8,,24,3,20,4,19,8,8,,38,57,2,7,15,2,2
"McEvoy, Ben",HW,8,36,17,57,93,6,1,178,26,6,9,14,14,14,3,,53,48,7,4,40,1,1
"Hughes, Ethan",FR,6,45,27,48,93,,,,5,13,8,9,13,1,7,,24,73,,,15,1,
"Miller, Ben",RI,11,51,30,41,92,3,,47,29,25,13,8,17,9,8,,47,45,8,3,69,,2
"Lazzaro, Charlie",NM,12,40,22,52,92,,5,,12,5,14,7,14,1,6,,29,64,1,2,7,1,5
"Wicks, Sam",SY,10,43,21,48,91,4,4,,25,,17,2,26,5,18,,43,50,3,4,12,,4
"Johannisen, Jason",WB,8,54,32,36,90,8,5,,11,3,21,4,10,1,4,,31,63,3,7,11,2,3
"Lambert, Kane",RI,7,51,21,39,90,1,2,,15,5,15,8,15,3,,,20,60,,2,1,2,1
"Reeves, Ned",HW,12,53,17,36,89,7,1,323,29,8,19,26,34,9,22,,54,30,7,6,47,,
"Bazzo, Rhett",WC,9,57,38,32,89,,1,,10,22,5,,11,1,2,,22,67,3,,20,,
"Atkins, Rory",GC,9,58,15,31,89,,,,8,16,17,5,17,2,6,,26,64,,,9,4,1
"Byrnes, Ryan",SK,11,51,25,37,88,,1,,10,10,15,5,17,2,4,,24,66,,,4,1,2
"Dow, Thomson",RI,6,34,7,53,87,1,,,16,8,15,22,16,4,7,,44,47,1,,10,,2
"Tomlinson, Adam",ME,8,61,38,26,87,,,,7,28,2,,20,,8,,29,52,4,,34,,
"Cumberland, Noah",RI,9,58,18,27,85,19,13,,17,,18,5,16,5,4,,42,38,4,10,8,1,8
"Hollands, Elijah",GC,5,52,26,33,85,5,4,,11,5,18,11,17,6,6,,34,52,3,4,4,1,1
"Dixon, Hugh",WC,10,44,26,41,85,4,3,33,19,,14,11,8,10,3,,46,38,7,5,20,1,4
"Sharman, Cooper",SK,10,62,32,23,85,3,1,5,7,11,14,4,15,3,2,,31,51,4,4,37,1,
"Langdon, Zac",WC,8,37,20,48,85,3,1,,27,1,14,2,10,7,6,,41,49,3,2,3,1,5
"Bonar, Aiden",NM,10,42,18,43,85,,,,14,19,4,3,17,3,8,,25,59,,,39,2,
"Madgen, Jack",CW,9,43,22,41,84,1,,,13,13,4,1,7,6,3,,26,55,3,,23,1,
"Weideman, Sam",ME,10,46,28,37,83,13,6,29,14,2,12,4,19,7,7,,46,39,10,13,16,,4
"Carmichael, Josh",CW,7,62,10,21,83,4,4,,13,3,13,15,27,1,5,,38,35,,4,6,1,1
"Cook, Brayden",AD,8,56,13,27,83,3,2,,14,6,13,5,11,5,3,,25,57,,,2,1,1
"Higgins, Shaun",GE,5,41,15,42,83,1,1,,19,7,11,9,16,7,5,,19,64,1,2,3,,4
"McLean, Hayden",SY,9,47,28,34,81,11,3,38,14,3,7,6,14,13,7,,43,41,13,7,25,,7
"Petruccelle, Jack",WC,8,61,30,20,81,8,8,,18,3,20,8,13,9,3,,33,50,4,7,8,4,2
"Khamis, Buku",WB,8,49,29,31,80,6,6,3,11,8,7,3,22,11,5,,32,50,5,7,20,,
"Pittonet, Marc",CA,8,26,12,54,80,,1,168,13,6,8,26,21,8,12,,50,34,3,,20,,
"Boyd, Jordan",CA,7,51,21,28,79,,1,,13,11,10,1,12,4,7,,28,50,1,,14,,1
"McKenzie, Trent",PA,7,58,25,21,79,,,,7,18,1,3,15,2,6,,24,38,8,,35,,
"Smith, Devon",ES,8,47,9,31,78,3,8,,21,1,12,5,12,5,4,,30,44,1,5,1,1,8
"Bowes, Jack",GC,5,58,18,20,78,,,,7,22,8,8,15,2,7,,20,43,,,8,5,1
"Jones, Harry",ES,10,44,28,32,76,13,5,,14,,11,2,14,6,2,,39,38,10,15,12,,1
"Butler, Sam",HW,9,42,16,34,76,6,5,,15,,13,3,21,10,9,,38,42,3,2,4,,2
"Hannan, Mitch",WB,7,53,24,23,76,4,1,4,8,12,11,2,19,6,3,,31,46,1,2,10,1,3
"Garcia, Riley",WB,7,41,10,35,76,3,1,,8,1,12,5,17,2,5,,34,42,1,3,2,2,3
"Cockatoo, Nakia",BL,8,49,22,27,76,2,2,,22,8,19,6,9,6,4,,32,43,2,2,11,,6
"Stephens, Cooper",GE,7,36,14,40,76,,,,11,7,12,14,12,3,6,,30,47,,1,1,,3
"Callaghan, Finn",GW,5,41,18,34,75,2,,,5,9,11,3,12,2,3,,20,57,1,,3,1,2
"Yeo, Elliot",WC,5,50,21,25,75,,1,,8,26,2,3,8,,3,,22,49,,,11,3,
"Owens, Mitch",SK,7,40,17,34,74,3,2,3,29,3,13,7,19,7,5,,41,38,2,3,13,1,1
"Jamieson, Callum",WC,9,29,16,45,74,,,69,20,4,11,13,14,6,6,,40,37,2,2,19,,2
"Ronke, Ben",SY,8,43,16,29,72,6,5,,11,2,14,,9,4,2,,33,37,1,5,3,,4
"Sloane, Rory",AD,4,36,12,36,72,,1,,17,7,7,20,16,6,4,,44,34,1,1,12,,
"Brown, Tyler",CW,11,28,7,43,71,2,,2,34,6,7,10,20,3,8,,38,37,,,7,,1
"Bosenavulagi, Atu",NM,9,36,16,35,71,,,,23,8,6,3,11,4,5,,30,41,1,,11,,
"Meek, Lloyd",FR,6,26,12,43,69,2,,117,15,5,6,18,15,11,12,,39,35,3,1,33,,
"McEntee, Jed",PA,9,26,13,42,68,5,4,,23,2,8,1,12,4,6,,26,42,1,3,7,,
"Narkle, Quinton",GE,8,40,21,28,68,4,3,,8,8,14,9,14,1,4,,23,47,,4,3,2,3
"Hannebery, Dan",SK,3,34,7,34,68,1,,,8,1,14,15,7,3,1,3,29,39,,,1,1,1
"Brown, Callum",CW,6,22,8,45,67,1,,,19,3,7,4,12,4,3,,22,41,1,,2,1,
"Blanck, James",HW,9,42,15,25,67,,,,14,15,6,2,18,7,8,,32,40,2,,57,,
"Johnson, Ash",CW,9,52,30,14,66,15,9,1,18,,16,,14,10,6,,37,31,10,14,6,,4
"Carroll, Jack",CA,5,45,24,21,66,1,1,,3,2,13,9,15,1,2,,19,51,,2,1,,5
"Stocker, Liam",CA,6,45,12,21,66,,,,11,15,7,3,14,3,5,,18,44,1,,15,,1
"Bedford, Toby",ME,16,33,13,32,65,9,3,,21,4,15,7,9,4,1,,25,43,,3,9,3,3
"Brander, Jarrod",GW,5,43,26,22,65,4,5,,6,2,13,2,13,3,4,,20,46,3,4,4,2,1
"Henry, Liam",FR,7,36,19,29,65,1,1,,10,3,7,3,14,3,4,,16,52,1,1,5,1,
"Ham, Brayden",ES,11,32,20,32,64,,2,,12,6,12,4,13,1,5,,23,44,1,3,8,,3
"Cox, Nik",ES,5,26,20,37,63,1,3,,7,2,8,1,13,8,6,,24,42,2,3,4,,1
"Dunstan, Luke",ME,5,22,10,41,63,,1,,11,1,10,13,9,1,3,,28,37,1,,4,,3
"Schache, Josh",WB,7,48,31,14,62,5,5,15,14,5,12,1,8,3,4,,21,41,7,8,12,1,2
"Lynch, Max",HW,7,37,14,25,62,4,1,123,11,7,14,13,12,5,5,,36,24,5,4,6,,2
"Waterman, Alec",ES,8,31,23,29,60,10,4,,14,,9,,13,,7,,33,26,6,14,4,1,2
"Hayes, Jack",SK,5,26,23,34,60,6,1,13,9,2,5,10,8,10,2,1,37,26,7,6,9,,2
"Crozier, Hayden",WB,5,43,25,17,60,1,,,5,12,7,1,10,2,5,,13,48,2,,11,1,
"Parker, Matthew",RI,5,40,22,19,59,4,3,,9,3,16,3,16,7,6,,30,31,3,3,5,1,4
"Reid, Zach",ES,7,35,23,24,59,,,,16,10,1,,10,4,3,,21,37,,,29,,
"Phillips, Andrew",ES,10,41,20,17,58,4,,142,25,3,12,14,27,8,14,,42,22,8,4,27,,2
"Brown, Callum",GW,8,43,24,15,58,4,1,,14,7,11,1,8,4,2,3,19,39,4,1,21,,1
"Davis, Phil",GW,5,36,23,22,58,,,,8,13,3,,11,7,5,,24,35,1,,29,,
"Worrell, Josh",AD,4,33,8,24,57,,,,7,14,7,4,6,4,1,,31,21,5,,21,,
"Lycett, Scott",PA,4,20,11,36,56,2,,96,6,,10,17,11,7,5,,29,25,2,,10,1,
"Dawson, Kallan",NM,4,34,21,22,56,,1,,6,11,7,,6,5,,,16,39,2,,17,1,
"Stein, Jake",GW,9,33,18,22,55,1,,,11,11,4,1,8,6,1,,22,34,2,2,35,,1
"Erasmus, Neil",FR,5,28,13,26,54,1,2,,11,,9,9,10,3,,,21,36,,1,2,,
"Hayes, Sam",PA,7,25,11,29,54,,,205,9,2,10,16,15,18,11,,38,23,1,,24,,1
"Gollant, Lachlan",AD,7,36,23,17,53,7,6,,5,1,8,,8,6,4,,22,30,4,9,10,,2
"Culley, Jai",WC,4,28,8,25,53,1,1,,30,2,9,14,11,3,6,,26,25,,1,3,,2
"Hayden, Kyron",NM,5,28,19,24,52,,,,10,11,1,2,15,4,6,,21,33,1,,10,,1
"Stewart, James",ES,6,33,21,18,51,4,,2,6,9,4,4,17,4,7,,28,24,7,4,10,,2
"Jeffrey, Joel",GC,5,40,17,10,50,8,3,,8,,12,,6,4,,,27,27,6,7,9,1,2
"Winder, Isiah",WC,6,25,13,25,50,3,2,,7,2,6,4,10,2,3,,20,30,,1,5,,2
"Aarts, Jake",RI,7,20,6,29,49,2,2,,14,2,6,6,9,5,6,,25,24,,3,4,,1
"Smith, Joel",ME,7,30,14,18,48,,,,12,8,4,,18,3,7,,24,24,5,,28,,
"Sweet, Jordon",WB,6,21,9,26,47,1,,136,25,5,7,11,12,8,8,,22,26,,,16,,2
"Darcy, Sam",WB,4,35,24,11,46,3,3,3,3,3,5,,8,4,1,,22,25,7,6,5,,
"Morris, Josh",HW,6,26,8,20,46,,,,4,4,11,1,11,4,3,,16,33,2,,12,,1
"Bell, James",SY,6,33,15,12,45,4,3,,9,2,8,,9,3,,,19,28,2,,4,,2
"Kemp, Brodie",CA,4,28,18,16,44,,,,2,5,2,,6,2,4,,10,34,4,,16,1,
"Amartey, Joel",SY,6,29,12,14,43,5,3,18,14,,11,7,13,2,6,,25,17,6,5,9,,2
"Martin, Stefan",WB,4,10,6,33,43,,,68,8,1,5,12,11,6,7,,24,21,1,,3,,
"Highmore, Tom",SK,3,26,17,17,43,,,,3,6,1,2,4,1,1,,12,30,3,,8,,
"Sproule, Zach",GW,6,30,18,12,42,2,3,9,18,,9,4,15,2,8,,14,27,2,2,2,1,3
"Andrew, Mac",GC,4,27,18,15,42,,,,8,8,6,1,9,3,2,,18,27,5,2,8,,1
"Hamilton, Cooper",GW,4,24,8,17,41,,,,11,7,1,2,7,4,3,,12,29,,,7,,
"McInnes, Reef",CW,6,20,11,19,39,3,4,,9,,9,,8,3,2,,11,27,,3,2,,3
"Fullarton, Tom",BL,5,23,12,15,38,2,,8,4,5,6,3,6,3,2,,22,18,3,3,10,,4
"Evans, Francis",GE,5,14,8,24,38,1,,,7,1,4,2,11,3,,,15,27,,,4,,1
"Wilmot, Darcy",BL,3,23,6,15,38,1,,,10,5,5,5,5,4,1,,20,18,,,4,1,
"Aleer, Leek",GW,4,25,19,13,38,,,,9,5,2,,5,6,1,,16,22,4,,18,,
"Honey, Josh",CA,5,12,8,25,37,1,2,,5,,3,1,3,,1,,16,20,1,4,4,,3
"Briggs, Kieren",GW,4,26,9,11,37,1,3,49,7,4,6,15,11,7,7,,29,7,3,2,12,,1
"Phillips, Tom",HW,4,20,11,17,37,,,,13,6,1,1,7,2,2,,11,28,,,1,,3
"Marchbank, Caleb",CA,4,25,14,12,37,,,,7,12,3,,6,4,3,,8,29,,,17,,
"ORiordan, Colin",SY,5,21,9,15,36,,,,1,2,1,1,6,4,2,,18,18,1,,8,,
"Bryan, Nick",ES,5,24,9,11,35,1,1,51,13,4,8,6,11,5,3,,16,20,2,2,8,,2
"Ceglar, Jonathon",GE,3,16,2,19,35,,,47,2,5,4,15,10,,3,,26,10,,,10,,
"Wilson, Nathan",FR,2,24,10,11,35,,,,1,7,3,,6,,2,,7,26,,,8,,
"Edwards, Luke",WC,3,19,11,15,34,1,,,5,2,2,4,5,,3,,9,27,,1,2,,
"Dow, Paddy",CA,4,12,5,22,34,,1,,6,1,4,8,8,1,3,,16,20,,,1,,
"Jeka, Emerson",HW,3,21,13,13,34,,,,3,5,1,,10,1,1,,12,22,5,,10,,
"Ruscoe, Trey",CW,4,24,10,9,33,,1,,5,4,5,1,2,1,,,14,17,1,1,8,,1
"Archer, Jackson",NM,3,12,6,21,33,,,,10,10,2,4,7,4,2,,17,17,,,5,,
"Wallis, Mitch",WB,5,20,11,11,31,4,4,,6,,8,,5,3,1,,13,18,1,5,4,,
"Treacy, Josh",FR,4,19,10,12,31,1,2,3,9,,9,,13,5,4,,17,15,2,2,11,,2
"Tunstill, James",BL,3,24,8,7,31,1,,,3,3,5,3,5,,1,,7,26,1,1,2,,
"Cunnington, Ben",NM,2,12,7,19,31,,,,4,,2,5,5,,2,,11,20,,,2,,
"Bruce, Josh",WB,5,18,13,12,30,1,2,10,10,3,5,3,9,1,6,,14,18,3,3,12,,
"Begg, Aiden",CW,3,9,8,21,30,,,9,7,1,6,4,6,4,1,,15,15,1,1,2,,1
"Frederick, Martin",PA,6,17,9,12,29,1,1,,11,2,2,,5,3,1,,7,22,,1,3,,
"Cleary, Luke",WB,4,17,13,12,29,,,,3,3,2,,2,,,,9,23,1,,4,,
"Francis, Aaron",ES,4,15,16,13,28,4,3,,6,,8,,10,1,3,,9,22,2,7,11,,2
"Amiss, Jye",FR,3,21,13,7,28,4,1,,2,,7,,3,3,,,17,11,6,6,1,,3
"Spicer, Phoenix",NM,5,17,5,11,28,1,3,,9,1,4,1,6,2,,,13,16,,2,3,,3
"Polec, Jared",NM,2,22,10,6,28,1,1,,3,3,1,3,7,2,1,,5,23,,,1,2,
"Hayes, Will",CA,2,15,7,13,28,,,,1,1,3,2,6,,1,,10,19,,2,1,,1
"Paul Oea, Hewago",GC,5,17,6,10,27,2,,,14,3,5,1,7,3,2,,6,20,,,2,1,2
"Day, Sam",GC,4,19,10,7,26,6,1,8,5,,8,2,7,3,2,,16,10,3,5,9,,3
"Ratugolea, Esava",GE,4,17,9,9,26,,,13,8,3,3,2,6,2,3,,12,13,2,1,11,,
"Clarke, Judson",RI,3,16,9,9,25,3,1,,4,1,5,,6,2,1,,11,14,,3,4,3,
"Sharp, Harry",BL,5,20,4,5,25,,,,6,6,3,2,10,1,4,,7,20,,,2,1,
"Lester, Ryan",BL,3,16,4,9,25,,,,6,4,2,1,3,4,,,11,12,,,15,,
"Collier-Dawkins, Riley",RI,2,7,4,18,25,,,,6,1,2,5,6,1,3,,11,15,,,3,,1
"Mansell, Rhyan",RI,2,19,12,6,25,,,,2,8,,,7,2,3,,6,19,,,5,1,
"Corbett, Josh",GC,4,12,12,12,24,4,1,,2,,6,,7,,2,,8,16,2,5,2,,
"Brown, Mitch",ME,3,16,11,8,24,2,,2,7,,6,,4,1,1,,4,20,2,4,7,,1
"Callow, Jackson",HW,3,9,8,15,24,,2,11,5,2,4,,6,1,2,,14,10,4,2,3,,
"Fogarty, Lachie",CA,3,10,5,14,24,,1,,5,,5,,3,,,,8,16,1,,4,,3
"McDonald, Oscar",CA,2,18,10,6,24,,,,,4,,,4,3,,,10,14,1,,9,,
"Sexton, Alex",GC,4,19,8,4,23,7,4,,1,,5,2,3,2,2,1,10,15,1,4,1,1,
"Baldwin, Kaine",ES,4,17,9,6,23,2,3,5,9,,6,2,5,5,4,,11,14,2,4,6,,
"Wilson, Tom",CW,3,15,5,8,23,2,,,2,,8,,6,1,,,7,16,,,2,,
"Strachan, Kieran",AD,2,15,6,8,23,,2,40,6,2,2,3,7,3,5,,13,10,2,1,6,,
"Campbell, Tom",SK,2,14,7,9,23,,1,27,5,,7,8,5,7,1,,19,5,4,1,10,,
"Kreuger, Nathan",CW,5,15,10,7,22,4,3,5,7,1,6,3,5,3,1,,10,13,1,4,9,1,1
"Knevitt, Mitch",GE,2,10,8,12,22,,2,,3,,4,2,2,1,1,,5,18,1,,1,,
"Strnadica, Luke",WC,2,12,3,9,21,1,1,19,5,1,4,4,4,3,1,,8,14,1,,4,,1
"McLean, Toby",WB,2,12,2,9,21,,2,,9,,3,4,1,2,,,11,11,1,,1,,
"Goater, Josh",NM,1,12,5,9,21,,1,,3,3,,,2,1,,,6,15,,,2,1,
"Trew, Zane",WC,2,9,1,11,20,1,1,,3,1,1,5,2,2,,,9,11,,,1,,
"Bedendo, Dominic",WB,2,13,3,7,20,1,,,6,,3,,9,,3,,7,14,,1,1,,
"Mountford, Declan",WC,2,10,1,10,20,1,,,3,1,5,6,4,1,1,,12,7,,,1,,
"Sheed, Dom",WC,1,11,2,9,20,,,,4,3,4,2,5,3,2,,6,14,,,1,,
"Menzie, Jye",ES,2,10,7,9,19,1,,,3,,4,1,1,,1,,7,11,,1,1,,1
"Dempsey, Oliver",GE,2,5,,14,19,1,1,,2,,2,1,3,4,1,,10,8,,,,1,1
"Florenca, Jake",WC,1,9,3,10,19,,,,7,4,,4,4,2,1,,13,7,,,1,,
"Berry, Tom",BL,3,7,4,11,18,1,2,,7,1,4,2,8,,2,,8,12,,1,2,,1
"Joyce, Darragh",SK,3,11,4,7,18,,,,2,4,,1,5,1,2,,8,11,,,16,,
"Skinner, Sam",PA,2,8,5,10,18,,,,3,2,2,,2,1,2,,8,11,2,,9,,
"Teakle, Brynn",PA,2,7,2,10,17,,,28,10,1,,4,6,2,2,,8,8,2,,3,,
"Thompson, Rory",GC,3,11,9,5,16,,,,5,1,1,,6,,3,,7,10,1,,21,,
"Parks, Luke",CA,2,8,5,8,16,,,,1,4,,,3,,1,,8,9,,,12,,
"Black, Aaron",WC,1,11,4,4,15,1,,,2,,3,4,,,,,5,9,,,,,
"Macrae, Finlay",CW,2,6,1,9,15,,,,2,1,2,,6,1,1,,7,9,,,4,,
"Madden, James",BL,2,10,7,4,14,,,,3,2,2,1,2,,1,,9,6,3,1,2,1,
"Mayes, Sam",PA,3,9,5,4,13,2,4,,3,,2,,4,1,3,,7,6,1,2,4,,2
"Wanganeen, Tex",ES,5,7,3,6,13,1,3,,10,,1,,4,,1,,2,11,,1,3,,
"Serong, Jai",HW,3,7,5,6,13,1,,,5,,3,,6,1,2,,6,9,1,2,1,,1
"Hartigan, Kyle",HW,3,8,5,5,13,,,,2,,2,,8,1,3,,9,3,3,,15,,
"Neale, Shannon",GE,2,4,3,9,13,,,14,4,,3,2,3,1,2,,9,4,2,,4,,
"Lohmann, Kai",BL,2,6,1,7,13,,1,,8,3,4,2,5,3,3,,11,4,,,3,1,1
"Poulter, Caleb",CW,1,10,2,3,13,,,,4,3,3,3,3,,3,,5,8,,,3,,
"Butler, Louis",WB,1,9,1,4,13,,,,1,,2,,2,,,,5,8,,,2,,
"Ford, Eddie",NM,3,5,7,7,12,1,,,2,,2,,3,,1,,4,7,2,,1,,
"Davis, Ben",AD,5,8,4,3,11,,,,,1,3,,,,,,3,7,1,,1,,2
"Burgess, Chris",GC,2,5,7,6,11,,1,,2,1,2,,2,,,,8,3,5,1,9,,1
"Long, Ned",HW,1,10,7,1,11,,,,1,3,1,1,2,1,1,,3,9,1,,1,,
"Sinn, Josh",PA,1,5,3,6,11,,,,,1,2,,2,,,,2,9,,,,,
"McPherson, Andrew",AD,1,6,3,4,10,,,,1,1,2,,5,1,,,4,6,,,1,,
"Hamling, Joel",FR,1,6,4,4,10,,,,,1,1,,2,1,2,,1,10,,,7,2,
"Giro, Stefan",WC,1,5,4,4,9,,,,,,3,,2,2,,,3,7,,,,,
"Durdin, Sam",CA,1,4,2,5,9,,,,2,5,,1,3,,1,,7,2,,,9,,
"Kent, Dean",SK,2,5,3,3,8,1,,,5,,4,,3,,2,,2,7,,,2,,2
"Michael, Carter",BL,1,7,3,1,8,1,,,2,2,,,,1,,,2,5,,,2,,
"Sheldrick, Angus",SY,2,4,1,4,8,,,,1,,1,,,1,,,4,3,,1,,,1
"Saunders, Jack",HW,1,3,1,4,7,1,,,1,,1,,1,1,,,2,5,,,,,1
"Chandler, Kade",ME,4,4,3,3,7,,1,,,,,,1,,1,,2,4,,,,,
"Stone, Conor",GW,1,5,2,2,7,,2,,2,,,,2,1,,,2,4,,1,1,,
"Dewar, Angus",WC,1,7,2,,7,,,,3,3,,,1,,,,2,5,,,6,,
"Hurley, Michael",ES,1,5,2,1,6,1,,,,,2,,,2,,,2,5,,2,1,,
"Nyuon, Bigoa",RI,1,2,,4,6,,,,2,1,,,2,1,,,3,3,,,10,,
"Comben, Charlie",NM,1,4,3,2,6,,2,5,3,,,1,2,2,2,,2,4,,2,,,
"Ainsworth, Brayden",WC,1,3,1,3,6,,1,,2,,,,1,1,,,1,5,,,1,,
"Roughead, Jordan",CW,1,4,3,2,6,,,,,2,,,2,,,,2,4,,,2,,
"Pedlar, Luke",AD,3,2,,3,5,1,1,,2,,,,,,,,4,2,,,,,
"Chugg, Isaac",CW,2,2,1,3,5,,,,2,,1,,1,,1,,4,1,,,,,
"Stack, Sydney",RI,2,3,3,2,5,,1,,2,,2,,1,,1,,2,4,,1,3,,1
"Tsitas, James",GC,1,3,3,2,5,,,,1,,,,1,,1,,1,4,,1,,,1
"Turner, Daniel",ME,1,3,2,2,5,,,,2,,1,1,1,,,,2,3,,,2,,
