Player,TM,GM,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA
"Ziebell, Jack",NM,19,171,74,85,256,17,8,,42,17,34,10,47,21,17,4,103,145,12,14,28,1,7
"Walker, Taylor",AD,18,168,94,87,255,47,23,35,36,,49,15,65,27,28,14,139,130,26,40,23,,13
"Young, Lewis",CA,19,154,102,101,255,1,,6,26,65,8,2,38,17,12,,99,156,19,1,217,,
"Jiath, Changkuoth",HW,14,141,63,113,254,1,2,,29,43,24,5,44,11,14,6,81,178,9,1,41,23,2
"Aliir, Aliir",PA,19,179,92,74,253,,1,,30,62,8,4,57,15,24,,110,144,19,1,126,2,
"Hinge, Mitch",AD,17,162,67,90,252,3,2,,46,44,45,18,45,10,16,,84,157,1,,38,1,3
"Logue, Griffin",FR,20,121,100,130,251,8,8,25,35,28,17,8,39,9,13,,120,132,24,12,126,3,6
"Jonas, Tom",PA,21,166,107,85,251,,,,47,64,13,6,50,16,21,,96,158,15,,120,,
"Impey, Jarman",HW,16,158,61,92,250,3,8,,38,28,40,8,35,16,15,,73,177,2,1,8,12,4
"Ross, Jack",RI,15,124,69,126,250,3,1,,20,17,47,24,31,10,14,,74,184,,3,21,5,8
"Bews, Jed",GE,23,134,79,115,249,1,2,,43,34,27,9,37,8,13,,88,156,4,2,37,1,4
"McHenry, Ned",AD,20,116,47,132,248,13,6,,66,13,49,12,67,33,35,,115,147,3,6,20,1,10
"Hobbs, Ben",ES,17,121,60,124,245,8,12,,43,7,40,15,49,20,22,,97,152,2,6,4,3,5
"Wright, Peter",ES,22,181,128,63,244,53,26,69,15,7,45,5,49,29,13,8,116,144,41,59,81,1,13
"Ah Chee, Callum",BL,21,132,74,112,244,8,6,,36,21,32,10,37,11,19,,95,151,5,7,16,,5
"Rivers, Trent",ME,18,150,66,94,244,2,,,29,42,31,9,33,8,17,,74,174,5,,32,4,3
"McCartin, Tom",SY,25,137,96,107,244,,,,38,58,14,7,60,11,28,2,120,132,26,,220,,1
"Farrell, Kane",PA,16,164,68,79,243,11,6,,41,33,54,15,35,9,11,,71,176,4,5,37,4,7
"Collins, Sam",GC,22,168,117,75,243,,,,34,67,14,4,45,32,14,,116,144,24,,179,2,
"Lemmens, Sean",GC,20,184,79,59,243,,,,50,77,15,7,55,16,21,,86,140,7,,52,5,2
"Rankine, Izak",GC,18,154,40,88,242,29,21,,39,4,36,25,48,16,21,2,116,121,,21,21,15,18
"Gardner, Ryan",WB,22,164,116,78,242,,,,25,56,7,1,51,14,27,,83,164,14,,198,2,1
"Haynes, Nick",GW,17,176,98,65,241,1,2,,14,41,23,3,40,12,9,,62,174,4,4,52,,2
"Fox, Robbie",SY,14,155,75,86,241,,1,,29,39,11,6,30,11,6,,66,169,3,1,45,3,1
"Darling, Jack",WC,21,154,99,86,240,34,15,2,48,3,33,2,48,24,20,2,129,111,37,40,53,,9
"Pickett, Kysaiah",ME,23,180,55,59,239,41,18,,62,4,41,13,61,13,30,4,106,128,4,25,24,6,8
"Frederick, Michael",FR,22,154,74,85,239,28,14,,51,3,60,5,32,11,10,,73,169,4,15,15,10,11
"Stephens, Dylan",SY,15,171,63,67,238,5,2,,38,21,38,18,44,11,20,,76,172,,2,19,4,6
"Lynch, Tom",RI,19,183,116,52,235,63,27,,25,,43,2,60,27,29,14,140,99,62,65,31,,6
"Breust, Luke",HW,21,156,47,79,235,40,19,,51,3,64,9,48,33,14,3,118,126,8,23,21,3,15
"Hickey, Tom",SY,16,120,49,115,235,3,2,348,26,20,37,63,49,11,30,,160,87,14,4,44,,4
"Jones, Zak",SK,13,117,38,118,235,2,1,,46,13,33,39,43,15,21,,89,153,,2,9,5,5
"Lobb, Rory",FR,21,141,92,93,234,36,24,156,35,9,27,11,42,20,16,7,125,117,32,49,82,,12
"Hogan, Jesse",GW,18,146,130,88,234,35,21,13,35,1,30,1,33,13,10,5,102,134,38,50,26,,11
"Cripps, Jamie",WC,17,170,70,64,234,22,13,,68,11,67,34,38,19,14,,94,138,1,16,14,3,11
"Soligo, Jake",AD,16,129,33,105,234,6,5,,55,20,30,28,44,13,14,,106,129,3,3,20,2,6
"King, Max",SK,22,172,115,61,233,52,41,3,16,1,31,3,53,31,22,6,134,101,48,71,22,,8
"Holman, Nick",GC,20,113,42,120,233,16,10,,94,4,43,6,55,21,17,,137,109,5,14,21,3,8
"Adams, Marcus",BL,18,177,104,56,233,1,,,24,64,21,3,46,13,16,,81,155,19,,108,,5
"Riewoldt, Jack",RI,21,172,104,59,231,40,30,4,40,2,62,7,69,19,28,1,117,126,29,54,49,1,12
"Newnes, Jack",CA,16,146,65,85,231,4,5,,31,22,39,12,33,5,15,,59,176,2,6,18,7,8
"Wanganeen-Milera, Nasiah",SK,17,166,82,65,231,1,6,,32,27,33,14,41,4,5,,55,179,2,3,10,18,6
"Pearce, Alex",FR,21,154,90,76,230,1,,,25,51,11,4,43,17,17,1,92,140,19,,108,,
"Fritsch, Bayley",ME,24,169,90,60,229,55,22,,37,2,47,3,43,21,17,,101,142,10,48,31,2,16
"Fiorini, Brayden",GC,14,155,48,73,228,3,3,,41,21,46,26,37,5,4,3,82,138,1,2,20,,3
"Gray, Robbie",PA,16,96,48,131,227,14,7,,42,4,25,20,41,8,11,,91,139,5,24,17,1,13
"Zurhaar, Cameron",NM,19,155,72,71,226,34,26,,31,2,50,19,57,19,25,3,114,116,19,25,20,,7
"Lever, Jake",ME,19,136,88,90,226,1,,,32,48,19,3,43,13,15,1,91,130,13,,97,1,1
"Salem, Christian",ME,13,148,59,78,226,1,1,,37,37,26,9,33,6,11,,52,152,3,,18,1,1
"Ballard, Charlie",GC,18,177,109,49,226,,1,,22,52,17,3,57,13,20,,76,144,20,1,108,1,3
"Marshall, Todd",PA,21,188,116,37,225,45,15,18,46,5,41,4,41,14,7,3,92,133,28,58,43,,10
"Long, Ben",SK,19,128,74,97,225,8,6,,58,21,35,8,48,14,19,2,90,143,10,6,41,3,6
"Weller, Lachie",GC,11,161,48,64,225,3,2,,17,62,37,15,34,11,4,4,58,129,,,25,9,3
"Ginnivan, Jack",CW,23,161,62,62,223,40,19,,34,3,42,14,48,32,13,3,102,129,4,26,21,4,6
"Idun, Connor",GW,16,124,74,96,220,,3,,27,54,9,2,24,13,8,,63,157,2,,65,5,1
"Higgins, Jack",SK,18,147,68,72,219,30,25,,21,6,40,5,33,18,9,7,94,128,5,31,12,5,12
"Perkins, Archie",ES,18,151,68,68,219,16,13,,45,7,47,17,28,16,9,,71,150,7,19,3,,11
"Hately, Jackson",AD,11,103,31,116,219,2,6,,48,19,27,25,33,13,10,,65,156,1,4,11,,1
"McKay, Harry",CA,19,169,114,48,217,45,31,23,25,,30,9,45,36,19,7,130,94,43,53,32,,5
"Weitering, Jacob",CA,18,169,109,47,216,1,,3,16,71,12,1,37,16,12,,81,135,16,,134,7,
"Mihocek, Brody",CW,23,150,87,65,215,41,25,2,46,1,33,2,54,17,21,3,99,111,30,50,25,,10
"Greene, Toby",GW,15,160,78,55,215,37,19,,22,3,57,10,53,20,19,3,84,126,15,32,10,2,9
"Draper, Sam",ES,22,140,35,74,214,12,7,523,33,22,57,85,82,27,44,1,148,65,17,6,79,1,5
"Setterfield, Will",CA,13,131,51,83,214,1,3,,30,26,33,20,32,3,7,,69,151,1,3,16,1,4
"Windhager, Marcus",SK,18,118,52,95,213,4,4,,39,4,37,20,39,13,12,,66,159,1,6,13,1,3
"Rowe, James",AD,17,117,52,95,212,12,11,,27,8,38,14,30,16,10,,74,136,1,6,7,2,10
"Murphy, Lachlan",AD,17,129,38,83,212,9,12,,49,8,52,33,32,15,10,,97,119,4,9,14,2,12
"Daniher, Joe",BL,19,158,82,50,208,39,24,4,12,,50,7,53,18,21,,85,119,25,35,12,8,11
"De Koning, Tom",CA,19,120,49,87,207,4,6,326,46,12,43,50,47,24,21,,135,73,29,6,61,,3
"Balta, Noah",RI,18,148,76,57,205,13,7,27,20,40,32,9,51,18,16,2,94,105,28,16,51,7,3
"Foley, Luke",WC,16,144,68,61,205,1,2,,40,35,17,11,38,14,8,,67,136,3,1,29,2,1
"McCreery, Beau",CW,22,115,34,89,204,14,11,,86,6,54,16,45,14,21,,88,107,1,8,34,19,13
"Georgiades, Mitch",PA,19,118,90,85,203,23,24,,40,1,28,2,59,18,26,,92,114,28,42,27,6,2
"Colyer, Travis",FR,18,148,63,54,202,9,6,,31,9,50,10,21,13,7,,57,149,1,4,16,12,15
"Bruhn, Tanner",GW,17,93,38,109,202,7,3,,59,7,34,36,41,19,20,1,96,117,1,3,14,6,3
"Reid, Sam",SY,18,108,72,93,201,18,20,126,73,5,35,25,37,18,20,2,121,83,27,26,49,,4
"Switkowski, Sam",FR,14,79,23,122,201,11,6,,63,1,40,24,21,12,10,,94,97,1,7,19,12,14
"Maginness, Finn",HW,16,108,41,93,201,3,7,,57,19,36,17,42,8,9,,71,130,1,1,17,,6
"Howard, Dougal",SK,17,153,83,48,201,,,,16,66,16,4,38,15,20,,50,124,7,,160,,1
"Hunt, Jayden",ME,20,134,52,66,200,,2,,27,38,35,5,36,8,9,,70,132,4,,41,6,
"West, Connor",WC,14,100,34,98,198,3,3,,52,10,33,29,35,15,12,,79,120,3,4,5,1,2
"McKenzie, Daniel",SK,12,121,57,77,198,3,3,,25,18,27,15,31,6,9,,81,123,4,1,37,3,3
"Perez, Flynn",NM,16,118,50,80,198,,,,35,41,29,16,42,10,13,,54,139,1,,21,3,4
"Tarrant, Robbie",RI,20,115,89,82,197,,,,21,37,20,4,42,11,24,,81,119,11,,137,,1
"Stringer, Jake",ES,15,136,33,60,196,25,19,,45,3,42,39,46,16,16,2,91,108,3,20,20,1,6
"Hunter, Lachie",WB,10,118,54,77,195,2,5,,26,12,36,9,21,10,6,,52,145,2,4,18,6,1
"Larkey, Nick",NM,20,127,76,67,194,38,18,,13,1,26,1,45,27,17,5,102,94,25,37,41,,4
"Petty, Harry",ME,18,111,70,80,191,1,,,41,46,10,3,35,4,21,,80,107,24,1,114,1,2
"Weightman, Cody",WB,21,131,55,57,188,36,10,,40,5,35,5,43,21,14,,89,104,13,24,24,,5
